Brand,Model,Variant,Engine Type,Horse Power,Torque,Max Speed,Mileage City,Fuel Tank Capacity,Mileage Highway,Displacement,Image,Cloudinary_Image
Toyota,Aqua,GR Sport,Hybrid,91 HP @ 5500 RPM (Combined),120 Nm @ 3800 RPM (Combined),180 KM/H,30 KM/L,36 L,28 KM/L,1490 cc,https://cache1.pakwheels.com/system/car_generation_pictures/15499/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952239/car_database/toyota_aqua_gr_sport_image.jpg
Toyota,Aqua,Z,Hybrid,91 HP @ 5500 RPM (Combined),120 Nm @ 3800 RPM (Combined),180 KM/H,24 KM/L,36 L,20 KM/L,1490 cc,https://cache1.pakwheels.com/system/car_generation_pictures/15499/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952240/car_database/toyota_aqua_z_image.jpg
KIA,Sorento,1.6T HEV FWD,Hybrid,238 HP (Combined),367 Nm (Combined),180 KM/H,12 KM/L,67 L,18 KM/L,1598 cc,https://cache1.pakwheels.com/system/car_generation_pictures/8830/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952241/car_database/kia_sorento_1.6t_hev_fwd_image.jpg
KIA,Sorento,1.6T HEV AWD,Hybrid,238 HP (Combined),367 Nm (Combined),180 KM/H,12 KM/L,67 L,16 KM/L,1598 cc,https://cache1.pakwheels.com/system/car_generation_pictures/8830/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952242/car_database/kia_sorento_1.6t_hev_awd_image.jpg
Toyota,Camry,High Grade,Hybrid,176 HP @ 5700 RPM (Combined),221 Nm @ 5200 RPM (Combined),180 KM/H,18 KM/L,50 L,25 KM/L,2487 cc,https://cache1.pakwheels.com/system/car_generation_pictures/6756/original/3.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952244/car_database/toyota_camry_high_grade_image.jpg
Toyota,Camry,Low Grade,Hybrid,205 HP @ 6000 RPM (Combined),221 Nm @ 5200 RPM (Combined),240 KM/H,8 KM/L,55 L,12 KM/L,2487 cc,https://cache1.pakwheels.com/system/car_generation_pictures/6756/original/3.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952245/car_database/toyota_camry_low_grade_image.jpg
Toyota,Camry,SE,Hybrid,205 HP @ 6000 RPM (Combined),221 Nm @ 5200 RPM (Combined),240 KM/H,18 KM/L,55 L,25 KM/L,2487 cc,https://cache1.pakwheels.com/system/car_generation_pictures/6756/original/3.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952246/car_database/toyota_camry_se_image.jpg
Toyota,Camry,XLE,Hybrid,176 HP @ 5700 RPM (Combined),221 Nm @ 5200 RPM (Combined),180 KM/H,18 KM/L,50 L,25 KM/L,2487 cc,https://cache1.pakwheels.com/system/car_generation_pictures/6756/original/3.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952247/car_database/toyota_camry_xle_image.jpg
Hyundai,Santa Fe,Smart,Hybrid,227 HP @ 5500 RPM (Combined),350 Nm @ 4400 RPM (Combined),220 KM/H,15 KM/L,67 L,13 KM/L,1598 cc,https://cache4.pakwheels.com/system/car_generation_pictures/17302/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952249/car_database/hyundai_santa_fe_smart_image.jpg
Hyundai,Santa Fe,Signature,Hybrid,227 HP @ 5500 RPM (Combined),350 Nm @ 4400 RPM (Combined),220 KM/H,15 KM/L,67 L,13 KM/L,1598 cc,https://cache4.pakwheels.com/system/car_generation_pictures/17302/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952250/car_database/hyundai_santa_fe_signature_image.jpg
KIA,Sportage L,HEV,Hybrid,227 HP @ 5500 RPM (Combined),350 Nm @ 4500 RPM (Combined),181 KM/H,20 KM/L,52 L,16 KM/L,1598 cc,https://cache3.pakwheels.com/system/car_generation_pictures/8102/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952251/car_database/kia_sportage_l_hev_image.jpg
Toyota,Raize,Hybrid G,Hybrid,80 HP @ 5600 RPM (Combined),105 Nm @ 3200 RPM (Combined),180 KM/H,28 KM/L,33 L,34 KM/L,1196 cc,https://cache4.pakwheels.com/system/car_generation_pictures/16289/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952252/car_database/toyota_raize_hybrid_g_image.jpg
Toyota,Raize,Hybrid Z,Hybrid,80 HP @ 5600 RPM (Combined),105 Nm @ 3200 RPM (Combined),180 KM/H,28 KM/L,33 L,34 KM/L,1196 cc,https://cache4.pakwheels.com/system/car_generation_pictures/16289/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952253/car_database/toyota_raize_hybrid_z_image.jpg
MG,3,Hybrid+ SE,Hybrid,101 HP @ 6000 RPM (Combined),128 Nm @ 2800 RPM (Combined),170 KM/H,12 KM/L,36 L,16 KM/L,1498 cc,https://cache3.pakwheels.com/system/car_generation_pictures/8643/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952255/car_database/mg_3_hybrid%2B_se_image.jpg
Toyota,Crown,Platinum,Hybrid,340 HP @ 6000 RPM (Combined),400 Nm @ 4800 RPM (Combined),240 KM/H,28 KM/L,55 L,30 KM/L,2400 cc,https://cache1.pakwheels.com/system/car_generation_pictures/7703/original/pic.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952256/car_database/toyota_crown_platinum_image.jpg
Toyota,Crown,RS Crossover,Hybrid,268 HP @ 6400 RPM (Combined),460 Nm @ 3000 RPM (Combined),240 KM/H,8 KM/L,55 L,10 KM/L,2393 cc,https://cache1.pakwheels.com/system/car_generation_pictures/7703/original/pic.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952257/car_database/toyota_crown_rs_crossover_image.jpg
Suzuki,Hustler,Hybrid G,Hybrid,49 HP @ 6500 RPM (Combined),58 Nm @ 5000 RPM (Combined),140 KM/H,23 KM/L,27 L,25 KM/L,657 cc,https://cache4.pakwheels.com/system/car_generation_pictures/15126/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952258/car_database/suzuki_hustler_hybrid_g_image.jpg
Suzuki,Hustler,Hybrid X,Hybrid,64 HP @ 6000 RPM (Combined),98 Nm @ 3000 RPM (Combined),140 KM/H,20 KM/L,27 L,22 KM/L,658 cc,https://cache4.pakwheels.com/system/car_generation_pictures/15126/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952260/car_database/suzuki_hustler_hybrid_x_image.jpg
Suzuki,Hustler,Hybrid X Turbo,Hybrid,63 HP @ 6000 RPM (Combined),98 Nm @ 3000 RPM (Combined),140 KM/H,20 KM/L,27 L,22 KM/L,658 cc,https://cache4.pakwheels.com/system/car_generation_pictures/15126/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952261/car_database/suzuki_hustler_hybrid_x_turbo_image.jpg
Suzuki,Hustler,J Style II,Hybrid,49 HP @ 6500 RPM (Combined),58 Nm @ 5000 RPM (Combined),140 KM/H,20 KM/L,27 L,22 KM/L,658 cc,https://cache4.pakwheels.com/system/car_generation_pictures/15126/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952262/car_database/suzuki_hustler_j_style_ii_image.jpg
Suzuki,Hustler,J Style II Turbo,Hybrid,63 HP @ 6000 RPM (Combined),98 Nm @ 3000 RPM (Combined),140 KM/H,20 KM/L,27 L,22 KM/L,658 cc,https://cache4.pakwheels.com/system/car_generation_pictures/15126/original/Cover.jpg,https://res.cloudinary.com/dy3mrxyzr/image/upload/v1783952264/car_database/suzuki_hustler_j_style_ii_turbo_image.jpg
